,index,decoder,test_context,train_context,on_off,fold,mse,date
313,73,rr,Wrist,Mixed,mix,1,0.38150832677172064,2022-06-02
314,74,tcfnn,Wrist,Mixed_Full,mix,1,0.27333245133693784,2022-06-02
315,75,rr,Wrist,Mixed_Full,mix,1,0.3740344771346466,2022-06-02
316,76,tcfnn,Wrist,Normal,off,1,0.3569563808602803,2022-06-02
317,77,rr,Wrist,Normal,off,1,0.39356193594979877,2022-06-02
318,78,tcfnn,Wrist,Spring,off,1,0.35160256455221145,2022-06-02
319,79,rr,Wrist,Spring,off,1,0.4086368116568622,2022-06-02
320,80,tcfnn,Wrist,SprWrst,off,1,0.37523942986332226,2022-06-02
321,81,rr,Wrist,SprWrst,off,1,0.4184889762470466,2022-06-02
322,82,tcfnn,Wrist,Wrist,on,1,0.27516045696437125,2022-06-02
323,83,rr,Wrist,Wrist,on,1,0.37028852501864606,2022-06-02
324,84,tcfnn,SprWrst,Mixed,mix,1,0.28205677509112653,2022-06-02
325,85,rr,SprWrst,Mixed,mix,1,0.3613496983641952,2022-06-02
326,86,tcfnn,SprWrst,Mixed_Full,mix,1,0.27471315341079006,2022-06-02
327,87,rr,SprWrst,Mixed_Full,mix,1,0.35662302263853435,2022-06-02
328,88,tcfnn,SprWrst,Normal,off,1,0.38327682302744576,2022-06-02
329,89,rr,SprWrst,Normal,off,1,0.44348974446374756,2022-06-02
330,90,tcfnn,SprWrst,Spring,off,1,0.2747576123394079,2022-06-02
331,91,rr,SprWrst,Spring,off,1,0.36548597642314273,2022-06-02
332,92,tcfnn,SprWrst,SprWrst,on,1,0.2539916360608126,2022-06-02
333,93,rr,SprWrst,SprWrst,on,1,0.3477613571831273,2022-06-02
334,94,tcfnn,SprWrst,Wrist,off,1,0.30713457511916664,2022-06-02
335,95,rr,SprWrst,Wrist,off,1,0.3866387433347593,2022-06-02
336,96,tcfnn,Normal,Mixed,mix,2,0.2478037780180847,2022-06-02
337,97,rr,Normal,Mixed,mix,2,0.33458382921734353,2022-06-02
338,98,tcfnn,Normal,Mixed_Full,mix,2,0.23416748086698258,2022-06-02
339,99,rr,Normal,Mixed_Full,mix,2,0.3296035244112102,2022-06-02
340,100,tcfnn,Normal,Normal,on,2,0.24747465924421647,2022-06-02
341,101,rr,Normal,Normal,on,2,0.3265246043415054,2022-06-02
342,102,tcfnn,Normal,Spring,off,2,0.26289096889709523,2022-06-02
343,103,rr,Normal,Spring,off,2,0.35586841853941653,2022-06-02
344,104,tcfnn,Normal,SprWrst,off,2,0.289351430885223,2022-06-02
345,105,rr,Normal,SprWrst,off,2,0.38936219372291125,2022-06-02
346,106,tcfnn,Normal,Wrist,off,2,0.2698305241686081,2022-06-02
347,107,rr,Normal,Wrist,off,2,0.3511677886924878,2022-06-02
348,108,tcfnn,Spring,Mixed,mix,2,0.21767896366500047,2022-06-02
349,109,rr,Spring,Mixed,mix,2,0.2957222392861594,2022-06-02
350,110,tcfnn,Spring,Mixed_Full,mix,2,0.2004391672739028,2022-06-02
351,111,rr,Spring,Mixed_Full,mix,2,0.2870251810590607,2022-06-02
352,112,tcfnn,Spring,Normal,off,2,0.25444245115800407,2022-06-02
353,113,rr,Spring,Normal,off,2,0.33032812636313647,2022-06-02
354,114,tcfnn,Spring,Spring,on,2,0.1958400795296915,2022-06-02
355,115,rr,Spring,Spring,on,2,0.28720139648877385,2022-06-02
356,116,tcfnn,Spring,SprWrst,off,2,0.21761496664371469,2022-06-02
